date,absorption_units_12_mo,demand_units,inventory_units,net_delivered_units_12_mo,market,date_calculated,slice
2024-12-31,528.0,16950.716796875,18443.0,826.0,Buffalo - NY,2024-12-31,Class B
2025-12-31,809.0,17760.0,18916.0,473.0,Buffalo - NY,2024-12-31,Class B
2026-12-31,714.0,18473.91796875,19579.0,663.0,Buffalo - NY,2024-12-31,Class B
2027-12-31,458.0,18932.154296875,19845.0,266.0,Buffalo - NY,2024-12-31,Class B
2028-12-31,320.0,19253.33203125,20186.0,341.0,Buffalo - NY,2024-12-31,Class B
2029-12-31,339.0,19592.138671875,20554.0,368.0,Buffalo - NY,2024-12-31,Class B
2024-12-31,-71.0,24331.71875,25439.0,0.0,Buffalo - NY,2024-12-31,Class C
2025-12-31,-66.0,24266.392578125,25429.0,-10.0,Buffalo - NY,2024-12-31,Class C
2026-12-31,6.0,24273.193359375,25417.0,-12.0,Buffalo - NY,2024-12-31,Class C
2027-12-31,43.0,24315.658203125,25406.0,-11.0,Buffalo - NY,2024-12-31,Class C
2028-12-31,27.0,24341.97265625,25395.0,-11.0,Buffalo - NY,2024-12-31,Class C
2029-12-31,-3.0,24339.05078125,25384.0,-11.0,Buffalo - NY,2024-12-31,Class C
2024-12-31,2065.0,20153.396484375,23095.0,2150.0,Charleston - SC,2024-12-31,Class A
2025-12-31,1066.0,21219.361328125,23697.0,602.0,Charleston - SC,2024-12-31,Class A
2026-12-31,1036.0,22254.802734375,24720.0,1023.0,Charleston - SC,2024-12-31,Class A
2027-12-31,1139.0,23393.494140625,25686.0,966.0,Charleston - SC,2024-12-31,Class A
2028-12-31,1238.0,24631.623046875,26879.0,1193.0,Charleston - SC,2024-12-31,Class A
2029-12-31,1220.0,25852.33203125,28131.0,1252.0,Charleston - SC,2024-12-31,Class A
2024-12-31,1617.0,30105.634765625,33648.0,2200.0,Charleston - SC,2024-12-31,Class B
2025-12-31,1163.0,31268.521484375,34914.0,1266.0,Charleston - SC,2024-12-31,Class B
2026-12-31,1446.0,32715.234375,36334.0,1420.0,Charleston - SC,2024-12-31,Class B
2027-12-31,1200.0,33914.9609375,36933.0,599.0,Charleston - SC,2024-12-31,Class B
2028-12-31,924.0,34839.55078125,37673.0,740.0,Charleston - SC,2024-12-31,Class B
2029-12-31,855.0,35695.15234375,38450.0,777.0,Charleston - SC,2024-12-31,Class B
2024-12-31,-138.0,14379.23828125,15438.0,0.0,Charleston - SC,2024-12-31,Class C
2025-12-31,-30.0,14350.5673828125,15420.0,-18.0,Charleston - SC,2024-12-31,Class C
2026-12-31,8.0,14358.830078125,15495.0,75.0,Charleston - SC,2024-12-31,Class C
2027-12-31,-5.0,14353.908203125,15470.0,-25.0,Charleston - SC,2024-12-31,Class C
2028-12-31,29.0,14384.5556640625,15444.0,-26.0,Charleston - SC,2024-12-31,Class C
2029-12-31,35.0,14420.3720703125,15419.0,-25.0,Charleston - SC,2024-12-31,Class C
2024-12-31,4757.0,60111.14453125,71438.0,7401.0,Charlotte - NC,2024-12-31,Class A
2025-12-31,4061.0,64172.94921875,74826.0,3388.0,Charlotte - NC,2024-12-31,Class A
2026-12-31,3971.0,68143.640625,79436.0,4610.0,Charlotte - NC,2024-12-31,Class A
2027-12-31,4098.0,72242.8515625,82768.0,3332.0,Charlotte - NC,2024-12-31,Class A
2028-12-31,5012.0,77254.59375,87088.0,4320.0,Charlotte - NC,2024-12-31,Class A
2029-12-31,4668.0,81922.6328125,91733.0,4645.0,Charlotte - NC,2024-12-31,Class A
2024-12-31,6590.0,106676.03125,123122.0,9613.0,Charlotte - NC,2024-12-31,Class B
2025-12-31,6246.0,112920.2109375,130927.0,7805.0,Charlotte - NC,2024-12-31,Class B
2026-12-31,5221.0,118141.09375,134887.0,3960.0,Charlotte - NC,2024-12-31,Class B
2027-12-31,4635.0,122776.3515625,137744.0,2857.0,Charlotte - NC,2024-12-31,Class B
2028-12-31,4794.0,127569.7109375,141797.0,4053.0,Charlotte - NC,2024-12-31,Class B
2029-12-31,4455.0,132024.9375,146156.0,4359.0,Charlotte - NC,2024-12-31,Class B
2024-12-31,-149.0,34730.5625,37950.0,0.0,Charlotte - NC,2024-12-31,Class C
2025-12-31,-146.0,34583.6328125,38131.0,181.0,Charlotte - NC,2024-12-31,Class C
2026-12-31,-273.0,34310.97265625,37823.0,-308.0,Charlotte - NC,2024-12-31,Class C
2027-12-31,-315.0,33996.66796875,37521.0,-302.0,Charlotte - NC,2024-12-31,Class C
2028-12-31,-345.0,33651.71875,37220.0,-301.0,Charlotte - NC,2024-12-31,Class C
2029-12-31,-213.0,33439.19140625,36912.0,-308.0,Charlotte - NC,2024-12-31,Class C
2024-12-31,765.0,6204.1162109375,6938.0,832.0,Chattanooga - TN,2024-12-31,Class A
2025-12-31,184.0,6388.3916015625,6938.0,0.0,Chattanooga - TN,2024-12-31,Class A
2026-12-31,275.0,6663.64599609375,7400.0,462.0,Chattanooga - TN,2024-12-31,Class A
2027-12-31,290.0,6953.58056640625,7680.0,280.0,Chattanooga - TN,2024-12-31,Class A
2028-12-31,355.0,7309.57373046875,8024.0,344.0,Chattanooga - TN,2024-12-31,Class A
2029-12-31,344.0,7653.53466796875,8387.0,363.0,Chattanooga - TN,2024-12-31,Class A
2024-12-31,496.0,13935.9208984375,15698.0,1102.0,Chattanooga - TN,2024-12-31,Class B
2025-12-31,746.0,14682.41796875,16846.0,1148.0,Chattanooga - TN,2024-12-31,Class B
2026-12-31,610.0,15293.0244140625,17004.0,158.0,Chattanooga - TN,2024-12-31,Class B
2027-12-31,590.0,15882.1943359375,17742.0,738.0,Chattanooga - TN,2024-12-31,Class B
2028-12-31,643.0,16525.048828125,18158.0,416.0,Chattanooga - TN,2024-12-31,Class B
2029-12-31,454.0,16980.966796875,18595.0,437.0,Chattanooga - TN,2024-12-31,Class B
2024-12-31,42.0,7004.39599609375,7427.0,24.0,Chattanooga - TN,2024-12-31,Class C
2025-12-31,-37.0,6967.4560546875,7419.0,-8.0,Chattanooga - TN,2024-12-31,Class C
2026-12-31,-35.0,6932.29296875,7410.0,-9.0,Chattanooga - TN,2024-12-31,Class C
2027-12-31,-30.0,6903.30224609375,7408.0,-2.0,Chattanooga - TN,2024-12-31,Class C
2028-12-31,8.0,6911.5546875,7408.0,0.0,Chattanooga - TN,2024-12-31,Class C
2029-12-31,14.0,6926.0302734375,7409.0,1.0,Chattanooga - TN,2024-12-31,Class C
2024-12-31,4778.0,80890.4453125,87723.0,4932.0,Chicago - IL,2024-12-31,Class A
