,equity,price,revenue,noi,debt_payment,loan_payoff,valuation,cashflow,market,date_cashflow,slice
2025-12-31,0.0,72938.5493,9309.335337221857,4282.294255122054,-2762.11539009,0.0,0.0,1520.178865032054,"Altoona,Pennsylvania",2024-12-31,Class C
2026-12-31,0.0,77397.6464,9632.188833908092,4430.806863597722,-2762.11539009,0.0,0.0,1668.6914735077225,"Altoona,Pennsylvania",2024-12-31,Class C
2027-12-31,0.0,82820.5867,9918.191623963934,4562.36814702341,-2762.11539009,0.0,0.0,1800.2527569334097,"Altoona,Pennsylvania",2024-12-31,Class C
2028-12-31,0.0,88790.1459,10173.359592623558,4679.745412606836,-2762.11539009,0.0,0.0,1917.630022516836,"Altoona,Pennsylvania",2024-12-31,Class C
2029-12-31,0.0,93109.5409,10360.100067688501,4765.64603113671,-2762.11539009,-42823.494419999995,93109.5409,52289.57712104672,"Altoona,Pennsylvania",2024-12-31,Class C
2024-12-31,-36400.469600000004,91001.174,0.0,0.0,0.0,0.0,0.0,-36400.469600000004,"Amarillo,Texas",2024-12-31,Class A
2025-12-31,0.0,93123.117,13323.71762560319,6128.910107777468,-3521.7454338,0.0,0.0,2607.164673977468,"Amarillo,Texas",2024-12-31,Class A
2026-12-31,0.0,99586.714,13797.784326068439,6346.980789991481,-3521.7454338,0.0,0.0,2825.2353561914815,"Amarillo,Texas",2024-12-31,Class A
2027-12-31,0.0,106976.0303,14193.192165971446,6528.868396346865,-3521.7454338,0.0,0.0,3007.122962546865,"Amarillo,Texas",2024-12-31,Class A
2028-12-31,0.0,115124.6599,14603.052553893242,6717.4041747908905,-3521.7454338,0.0,0.0,3195.6587409908907,"Amarillo,Texas",2024-12-31,Class A
2029-12-31,0.0,121245.2727,14923.153285998846,6864.650511559468,-3521.7454338,-54600.704399999995,121245.2727,69987.47337775948,"Amarillo,Texas",2024-12-31,Class A
2024-12-31,-29621.06532,74052.6633,0.0,0.0,0.0,0.0,0.0,-29621.06532,"Amarillo,Texas",2024-12-31,Class B
2025-12-31,0.0,75644.0036,10275.377111990761,4726.67347151575,-2865.83806971,0.0,0.0,1860.8354018057498,"Amarillo,Texas",2024-12-31,Class B
2026-12-31,0.0,80745.7015,10641.66230752105,4895.164661459683,-2865.83806971,0.0,0.0,2029.3265917496828,"Amarillo,Texas",2024-12-31,Class B
2027-12-31,0.0,86600.7398,10945.818222215397,5035.076382219082,-2865.83806971,0.0,0.0,2169.238312509082,"Amarillo,Texas",2024-12-31,Class B
2028-12-31,0.0,93086.301,11254.47678699079,5177.059322015763,-2865.83806971,0.0,0.0,2311.2212523057633,"Amarillo,Texas",2024-12-31,Class B
2029-12-31,0.0,97911.616,11482.895782607236,5282.132059999329,-2865.83806971,-44431.59798,97911.616,55896.31201028932,"Amarillo,Texas",2024-12-31,Class B
2024-12-31,-23061.15348,57652.8837,0.0,0.0,0.0,0.0,0.0,-23061.15348,"Amarillo,Texas",2024-12-31,Class C
2025-12-31,0.0,58654.0388,8236.456970587442,3788.770206470223,-2231.16659919,0.0,0.0,1557.603607280223,"Amarillo,Texas",2024-12-31,Class C
2026-12-31,0.0,62352.99,8488.99725009128,3904.938735041989,-2231.16659919,0.0,0.0,1673.7721358519889,"Amarillo,Texas",2024-12-31,Class C
2027-12-31,0.0,66606.6336,8697.5189003083,4000.8586941418175,-2231.16659919,0.0,0.0,1769.6920949518176,"Amarillo,Texas",2024-12-31,Class C
2028-12-31,0.0,71319.1784,8910.611718727683,4098.881390614734,-2231.16659919,0.0,0.0,1867.7147914247344,"Amarillo,Texas",2024-12-31,Class C
2029-12-31,0.0,74753.6932,9057.578785146456,4166.486241167369,-2231.16659919,-34591.73022,74753.6932,42097.28262197737,"Amarillo,Texas",2024-12-31,Class C
2024-12-31,-50903.33556000001,127258.3389,0.0,0.0,0.0,0.0,0.0,-50903.33556000001,"Ames,Iowa",2024-12-31,Class A
2025-12-31,0.0,131589.0166,13709.860284506136,6306.535730872822,-4924.89771543,0.0,0.0,1381.6380154428216,"Ames,Iowa",2024-12-31,Class A
2026-12-31,0.0,140714.3254,14324.41752811487,6589.23206293284,-4924.89771543,0.0,0.0,1664.3343475028396,"Ames,Iowa",2024-12-31,Class A
2027-12-31,0.0,151428.2411,14795.406077273887,6805.886795545987,-4924.89771543,0.0,0.0,1880.9890801159872,"Ames,Iowa",2024-12-31,Class A
2028-12-31,0.0,162930.0246,15206.72234030009,6995.092276538041,-4924.89771543,0.0,0.0,2070.194561108041,"Ames,Iowa",2024-12-31,Class A
2029-12-31,0.0,171278.5608,15538.404528101493,7147.666082926687,-4924.89771543,-76355.00334,171278.5608,97146.3258274967,"Ames,Iowa",2024-12-31,Class A
2024-12-31,-38814.21576,97035.5394,0.0,0.0,0.0,0.0,0.0,-38814.21576,"Ames,Iowa",2024-12-31,Class B
2025-12-31,0.0,100208.2071,13544.645061982967,6230.536728512164,-3755.2753747799998,0.0,0.0,2475.261353732164,"Ames,Iowa",2024-12-31,Class B
2026-12-31,0.0,106974.081,14101.513671243034,6486.6962887717955,-3755.2753747799998,0.0,0.0,2731.4209139917957,"Ames,Iowa",2024-12-31,Class B
2027-12-31,0.0,114929.6397,14537.800839540598,6687.388386188674,-3755.2753747799998,0.0,0.0,2932.1130114086745,"Ames,Iowa",2024-12-31,Class B
2028-12-31,0.0,123452.6048,14901.271170285812,6854.584738331473,-3755.2753747799998,0.0,0.0,3099.3093635514733,"Ames,Iowa",2024-12-31,Class B
2029-12-31,0.0,129582.4814,15176.335351279205,6981.114261588434,-3755.2753747799998,-58221.323639999995,129582.4814,74586.99664680845,"Ames,Iowa",2024-12-31,Class B
2024-12-31,-29324.06516,73310.1629,0.0,0.0,0.0,0.0,0.0,-29324.06516,"Ames,Iowa",2024-12-31,Class C
2025-12-31,0.0,75718.3347,11258.200505907327,5178.77223271737,-2837.10330423,0.0,0.0,2341.6689284873696,"Ames,Iowa",2024-12-31,Class C
2026-12-31,0.0,80768.1837,11734.850996816534,5398.031458535605,-2837.10330423,0.0,0.0,2560.9281543056054,"Ames,Iowa",2024-12-31,Class C
2027-12-31,0.0,86674.4344,12115.261306814851,5573.020201134831,-2837.10330423,0.0,0.0,2735.916896904831,"Ames,Iowa",2024-12-31,Class C
2028-12-31,0.0,92978.1402,12435.076736882325,5720.135298965869,-2837.10330423,0.0,0.0,2883.031994735869,"Ames,Iowa",2024-12-31,Class C
2029-12-31,0.0,97509.032,12681.984673921372,5833.712950003831,-2837.10330423,-43986.09774,97509.032,56519.54390577384,"Ames,Iowa",2024-12-31,Class C
2024-12-31,-64421.357,161053.3925,0.0,0.0,0.0,0.0,0.0,-64421.357,"Anchorage,Alaska",2024-12-31,Class A
2025-12-31,0.0,167535.6637,23945.57373482734,11014.963918020576,-6232.7662897499995,0.0,0.0,4782.197628270576,"Anchorage,Alaska",2024-12-31,Class A
2026-12-31,0.0,180119.3712,24832.020355761062,11422.729363650087,-6232.7662897499995,0.0,0.0,5189.963073900088,"Anchorage,Alaska",2024-12-31,Class A
2027-12-31,0.0,193604.2062,25070.99937605112,11532.659712983515,-6232.7662897499995,0.0,0.0,5299.893423233516,"Anchorage,Alaska",2024-12-31,Class A
2028-12-31,0.0,207323.3662,25563.935045778744,11759.410121058221,-6232.7662897499995,0.0,0.0,5526.643831308222,"Anchorage,Alaska",2024-12-31,Class A
2029-12-31,0.0,217899.5,26242.112119875837,12071.371575142884,-6232.7662897499995,-96632.03549999998,217899.5,127106.0697853929,"Anchorage,Alaska",2024-12-31,Class A
